platform,name,version,zscore_combined,openssf_badge_tiered_percentage,lio_timestamp,lio_url,lio_rc,lio_rank,lio_dependents_count,lio_dependent_repos_count,lio_repo_url,lio_repo_url_rc,cii_timestamp,cii_url,cii_rc,cii_created_at,cii_updated_at,cii_tiered_percentage,scorecard_v480_timestamp,scorecard_v480_score,criticality_timestamp,criticality_score,criticality_dependents_count
maven,org.yaml:snakeyaml,1.27,0.997759774,3,2022-10-24T20:02:03.843805,https://libraries.io/api/maven/org.yaml:snakeyaml,200,18,1612,5919,https://bitbucket.org/snakeyaml/snakeyaml,200,2022-10-24T20:02:04.461895,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//bitbucket.org/snakeyaml/snakeyaml,200,,,,,,,,
maven,mysql:mysql-connector-java,8.0.22,0.985023089,Not Participating,2022-10-24T22:07:51.212277,https://libraries.io/api/maven/mysql:mysql-connector-java,200,23,3033,152731,https://github.com/mysql/mysql-connector-j,200,2022-10-24T22:07:51.953086,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/mysql/mysql-connector-j,200,,,,2022-10-25T10:57:50.219253,6.0,2022-10-24T22:07:58.383858,0.55977,3739
maven,org.glassfish.hk2.external:aopalliance-repackaged,2.6.1,0.980437883,Not Participating,2022-10-25T08:21:06.970068,https://libraries.io/api/maven/org.glassfish.hk2.external:aopalliance-repackaged,200,18,63,78,https://github.com/eclipse-ee4j/glassfish-hk2,200,2022-10-24T21:23:45.032216,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/eclipse-ee4j/glassfish-hk2,200,,,,2022-10-25T10:31:03.420338,8.3,2022-10-24T21:23:51.434746,0.47538,31
maven,oro:oro,2.0.8,0.972902239,Not Participating,2022-10-25T06:21:24.606512,https://libraries.io/api/maven/oro:oro,200,15,348,2249,,,,,,,,,,,,,
maven,org.aspectj:aspectjweaver,1.9.6,0.970248535,Not Participating,2022-10-24T20:29:46.220753,https://libraries.io/api/maven/org.aspectj:aspectjweaver,200,22,1751,31121,https://github.com/eclipse/org.aspectj,200,2022-10-24T20:29:46.894035,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/eclipse/org.aspectj,200,,,,2022-10-24T20:30:01.313926,4.3,2022-10-24T20:32:10.636803,0.42263,0
maven,org.hibernate.validator:hibernate-validator,6.1.5.Final,0.968210666,Not Participating,2022-10-24T21:09:41.087394,https://libraries.io/api/maven/org.hibernate.validator:hibernate-validator,200,21,894,2078,https://github.com/hibernate/hibernate-validator,200,2022-10-24T20:10:28.834778,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/hibernate/hibernate-validator,200,,,,2022-10-24T20:10:44.196013,6.8,2022-10-24T20:10:48.422561,0.61504,2447
go,github.com/golang/protobuf,v1.3.4,0.9633049,Not Participating,2022-10-24T19:56:09.698041,https://libraries.io/api/go/github.com%2Fgolang%2Fprotobuf,200,26,25929,17788,https://github.com/golang/protobuf,200,2022-10-24T19:56:10.315153,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/golang/protobuf,200,,,,2022-10-24T19:56:25.846380,5.9,2022-10-24T19:56:31.235465,0.57958,14530
maven,junit:junit,4.13,0.961023055,Not Participating,2022-10-24T19:35:09.834575,https://libraries.io/api/maven/junit:junit,200,30,54024,408330,https://github.com/junit-team/junit4,200,2022-10-24T19:35:10.560077,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/junit-team/junit4,200,,,,2022-10-24T19:35:28.222613,4.5,2022-10-24T19:35:32.331537,0.60247,21255
maven,org.hdrhistogram:HdrHistogram,2.1.12,0.960568655,Not Participating,2022-10-24T22:03:28.587179,https://libraries.io/api/maven/org.hdrhistogram:hdrhistogram,200,22,336,657,https://github.com/HdrHistogram/HdrHistogram,200,2022-10-24T22:03:29.502064,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/HdrHistogram/HdrHistogram,200,,,,2022-10-25T09:49:42.973641,4.3,2022-10-24T22:03:38.092864,0.42202,695
maven,com.fasterxml.jackson.core:jackson-annotations,2.6.0,0.955797166,Not Participating,2022-10-24T19:34:24.691302,https://libraries.io/api/maven/com.fasterxml.jackson.core:jackson-annotations,200,25,4856,29185,https://github.com/FasterXML/jackson-annotations,200,2022-10-24T19:34:25.461924,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/FasterXML/jackson-annotations,200,,,,2022-10-24T19:34:40.540156,7.1,2022-10-24T19:34:48.125958,0.53281,493
