,platform,name,appendix,version,major_version,release_datetime,release_year,deps_count,dir_deps_count,trans_deps_count,max_depth,own_vulns_count,dep_vulns_hist_count_with_test,dep_vulns_hist_count_wo_test,dep_vulns_count_with_test,dep_vulns_count_wo_test,dep_vulns_low_with_test,dep_vulns_low_wo_test,dep_vulns_medium_with_test,dep_vulns_medium_wo_test,dep_vulns_high_with_test,dep_vulns_high_wo_test,dep_vulns_critical_with_test,dep_vulns_critical_wo_test,dep_vulns_unknown_with_test,dep_vulns_unknown_wo_test
332,maven,org.springframework:spring-tx,H,5.3.23,5,2022-09-15 10:39:19.000,2022,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,maven,org.springframework:spring-web,B,5.3.23,5,2022-09-15 10:39:25.000,2022,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,maven,org.springframework:spring-webmvc,B,5.3.23,5,2022-09-15 10:39:22.000,2022,7.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,maven,org.xerial.snappy:snappy-java,D,1.1.8.4,1,2021-01-25 16:26:17.000,2021,,,,,0.0,,,,,,,,,,,,,,
336,maven,org.xmlunit:xmlunit-core,B,2.9.0,2,2022-01-25 18:12:41.000,2022,13.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,maven,org.yaml:snakeyaml,B,1.33,1,2022-09-26 08:52:45.000,2022,7.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,maven,oro:oro,D,2.0.8,2,2005-11-08 23:29:01.000,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,maven,pull-parser:pull-parser,D,2.1.10,2,2005-11-08 23:21:21.000,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,maven,ru.yandex.qatools.allure:allure-report-plugin-api,B,1.5.4,1,2017-05-29 20:03:01.000,2017,8.0,2.0,6.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
341,maven,ru.yandex.qatools.clay:clay-maven-settings-builder,B,2.5,2,2015-04-30 18:50:35.000,2015,12.0,5.0,7.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
342,maven,saxpath:saxpath,D,1.0-FCS,1,2005-11-08 23:17:41.000,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,maven,software.amazon.ion:ion-java,B,1.5.1,1,2019-09-25 23:17:57.000,2019,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,maven,stax:stax,D,1.2.0,1,2007-01-01 18:43:13.000,2007,,,,,0.0,,,,,,,,,,,,,,
345,maven,stax:stax-api,D,1.0.1,1,2006-08-31 19:39:14.000,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,maven,urbanophile:java-getopt,D,1.0.9,1,2005-11-08 22:52:59.000,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,maven,xalan:serializer,D,2.7.2,2,2014-07-24 20:44:54.000,2014,2.0,2.0,0.0,1.0,0.0,2.0,2.0,5.0,5.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0
348,maven,xalan:xalan,D,2.7.2,2,2014-07-24 20:48:30.000,2014,3.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0
349,maven,xerces:xercesimpl,B,2.12.2,2,2022-01-27 11:18:24.000,2022,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,maven,xml-apis:xml-apis,B,1.4.01,1,2011-08-20 02:11:11.000,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,maven,xml-resolver:xml-resolver,D,1.2,1,2016-01-02 03:41:33.000,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,maven,xmlpull:xmlpull,F,1.1.3.1,1,2007-03-20 01:18:31.000,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,maven,xom:xom,D,1.3.8,1,2022-09-11 19:51:16.000,2022,4.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,6.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0
354,maven,xpp3:xpp3,D,1.1.4c,1,2007-12-01 10:05:06.000,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355,maven,xpp3:xpp3_min,H,1.1.4c,1,2007-12-01 10:06:42.000,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
