platform,name,zscore_combined,openssf_badge_tiered_percentage,lio_timestamp,lio_url,lio_rc,lio_rank,lio_dependents_count,lio_dependent_repos_count,lio_repo_url,lio_repo_url_rc,cii_timestamp,cii_url,cii_rc,cii_created_at,cii_updated_at,cii_tiered_percentage,scorecard_v480_timestamp,scorecard_v480_score,criticality_timestamp,criticality_score,criticality_dependents_count
pypi,apispec,0.2683785,Not Participating,2022-10-24T21:29:02.754740,https://libraries.io/api/pypi/apispec,200,20,161,6953,https://github.com/marshmallow-code/apispec,200,2022-10-24T21:29:03.386420,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/marshmallow-code/apispec,200,,,,2022-10-25T10:48:53.178991,5.9,2022-10-24T21:29:08.667764,0.57074,550
pypi,python-geohash,0.268054917,Not Participating,2022-10-24T21:29:08.879158,https://libraries.io/api/pypi/python-geohash,404,,,,,,,,,,,,,,,,
pypi,polyline,0.267731333,Not Participating,2022-10-24T21:29:09.089194,https://libraries.io/api/pypi/polyline,200,14,18,296,https://github.com/hicsail/polyline,200,2022-10-24T21:29:09.844062,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/hicsail/polyline,200,,,,2022-10-25T10:49:01.915194,4.5,2022-10-24T21:29:16.387551,0.18025,3
pypi,prison,0.267731333,Not Participating,2022-10-24T21:29:16.604094,https://libraries.io/api/pypi/prison,200,11,15,25,https://github.com/betodealmeida/python-rison,200,2022-10-24T21:29:17.234433,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/betodealmeida/python-rison,200,,,,2022-10-25T10:49:11.067030,4.6,2022-10-24T21:31:29.414724,0.18295,0
nuget,microsoft.identitymodel.logging,0.26742093,Not Participating,2022-10-24T21:31:30.007158,https://libraries.io/api/nuget/microsoft.identitymodel.logging,200,20,163,1349,https://github.com/AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet,200,2022-10-24T21:27:08.703023,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet,200,,,,2022-10-25T10:45:22.519619,6.5,2022-10-24T21:27:17.502066,0.55215,1696
pypi,wtforms-json,0.26740775,Not Participating,2022-10-24T21:31:31.254653,https://libraries.io/api/pypi/wtforms-json,404,,,,,,,,,,,,,,,,
pypi,flask-appbuilder,0.266760583,Not Participating,2022-10-24T21:31:31.470445,https://libraries.io/api/pypi/flask-appbuilder,404,,,,,,,,,,,,,,,,
maven,io.reactivex:rxjava,0.266746791,Not Participating,2022-10-24T21:31:31.698149,https://libraries.io/api/maven/io.reactivex:rxjava,200,26,747,12846,https://github.com/ReactiveX/RxJava,200,2022-10-24T21:31:32.589766,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/ReactiveX/RxJava,200,,,,2022-10-25T10:49:34.544551,6.6,2022-10-24T21:31:45.556041,0.65494,4362
go,github.com/golang/mock,0.25999529,Not Participating,2022-10-24T21:31:45.767437,https://libraries.io/api/go/github.com%2Fgolang%2Fmock,200,27,6311,4533,https://github.com/golang/Mock,200,2022-10-24T21:31:46.413931,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/golang/Mock,200,,,,2022-10-25T09:58:00.738989,5.4,2022-10-24T21:31:51.548752,0.55097,2558
maven,com.sun.xml.fastinfoset:fastinfoset,0.258157819,Not Participating,2022-10-24T21:31:51.906014,https://libraries.io/api/maven/com.sun.xml.fastinfoset:fastinfoset,200,17,83,196,https://github.com/eclipse-ee4j/jaxb-fi,200,2022-10-24T21:31:52.611771,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/eclipse-ee4j/jaxb-fi,200,,,,2022-10-25T10:49:47.783430,5.6,2022-10-24T21:32:03.439150,0.14776,0
maven,jakarta.annotation:jakarta.annotation-api,0.256719307,Not Participating,2022-10-24T21:32:03.641653,https://libraries.io/api/maven/jakarta.annotation:jakarta.annotation-api,200,17,603,0,https://github.com/eclipse-ee4j/common-annotations-api,200,2022-10-24T21:32:04.298302,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/eclipse-ee4j/common-annotations-api,200,,,,2022-10-25T09:48:47.629612,5.8,2022-10-24T21:32:10.807924,0.2795,0
