platform,name,zscore_combined,openssf_badge_tiered_percentage,lio_timestamp,lio_url,lio_rc,lio_rank,lio_dependents_count,lio_dependent_repos_count,lio_repo_url,lio_repo_url_rc,cii_timestamp,cii_url,cii_rc,cii_created_at,cii_updated_at,cii_tiered_percentage,scorecard_v480_timestamp,scorecard_v480_score,criticality_timestamp,criticality_score,criticality_dependents_count
rubygems,test-unit,0.45019794,Not Participating,2022-10-25T06:22:14.733822,https://libraries.io/api/rubygems/test-unit,200,25,3213,11229,https://github.com/test-unit/test-unit,200,2022-10-25T06:22:15.374127,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/test-unit/test-unit,200,,,,2022-10-25T10:09:38.304279,5.2,2022-10-25T06:22:21.739808,0.56834,1089
maven,asm:asm,0.450003408,Not Participating,2022-10-25T06:22:21.917846,https://libraries.io/api/maven/asm:asm,200,11,618,4585,,,,,,,,,,,,,
maven,commons-digester:commons-digester,0.447809273,Not Participating,2022-10-25T06:22:22.104348,https://libraries.io/api/maven/commons-digester:commons-digester,200,15,465,5232,http://svn.apache.org/viewvc/commons/proper/digester/tags/DIGESTER_2_1_RC2,404,,,,,,,,,,,
go,github.com/xeipuuv/gojsonschema,0.447485947,Not Participating,2022-10-25T06:22:22.298517,https://libraries.io/api/go/github.com%2Fxeipuuv%2Fgojsonschema,200,21,1347,981,https://github.com/xeipuuv/gojsonschema,200,2022-10-25T06:22:22.916084,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/xeipuuv/gojsonschema,200,,,,2022-10-25T10:10:00.892362,4.9,2022-10-25T06:22:31.367860,0.42264,233
maven,org.springframework.retry:spring-retry,0.447417841,Not Participating,2022-10-25T06:22:31.550933,https://libraries.io/api/maven/org.springframework.retry:spring-retry,200,21,503,2181,https://github.com/spring-projects/spring-retry,200,2022-10-25T06:22:32.165851,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/spring-projects/spring-retry,200,,,,2022-10-25T10:10:21.146964,7.1,2022-10-25T06:22:38.777673,0.5259,137
nuget,system.runtime.serialization.primitives,0.444809342,Not Participating,2022-10-25T06:22:38.958083,https://libraries.io/api/nuget/system.runtime.serialization.primitives,200,0,0,0,,,,,,,,,,,,,
rubygems,cucumber,0.444556202,Not Participating,2022-10-25T06:22:39.226960,https://libraries.io/api/rubygems/cucumber,200,25,2415,30581,https://github.com/cucumber/cucumber-ruby,200,2022-10-25T06:22:39.935178,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/cucumber/cucumber-ruby,200,,,,2022-10-25T10:10:41.467040,5.5,2022-10-25T07:15:06.857810,0.64147,2425
go,github.com/google/go-github,0.436715505,131,2022-10-25T07:15:07.324123,https://libraries.io/api/go/github.com%2Fgoogle%2Fgo-github,200,25,1296,1961,https://github.com/google/go-github,200,2022-10-25T07:15:08.379791,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/google/go-github,200,2017-03-16T23:34:06.376Z,2019-03-21T19:00:35.798Z,131,2022-10-25T10:11:02.950146,7.3,2022-10-25T07:15:24.054340,0.71759,920
maven,net.bytebuddy:byte-buddy,0.436545839,Not Participating,2022-10-24T20:28:08.704306,https://libraries.io/api/maven/net.bytebuddy:byte-buddy,200,23,1003,838,https://github.com/raphw/byte-buddy,200,2022-10-24T20:02:28.172960,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/raphw/byte-buddy,200,2022-07-09T06:50:25.373Z,2022-07-21T21:46:08.655Z,180,2022-10-24T20:02:43.200744,7.1,2022-10-24T20:02:48.547337,0.69965,2842
nuget,system.xml.xmldocument,0.431324856,Not Participating,2022-10-25T07:15:24.390400,https://libraries.io/api/nuget/system.xml.xmldocument,200,14,665,2712,,,,,,,,,,,,,
cargo,clippy,0.426073734,Not Participating,2022-10-25T07:15:24.651545,https://libraries.io/api/cargo/clippy,200,23,620,1046,https://github.com/rust-lang-nursery/rust-clippy,200,2022-10-25T07:15:25.331479,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/rust-lang-nursery/rust-clippy,200,,,,2022-10-25T10:11:23.191876,5.8,2022-10-25T07:15:30.650325,0.81011,8393
pypi,setuptools,0.422033604,Not Participating,2022-10-24T21:27:45.815561,https://libraries.io/api/pypi/setuptools,200,26,7605,28965,https://github.com/pypa/setuptools,200,2022-10-24T21:27:46.472230,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/pypa/setuptools,200,,,,2022-10-25T10:11:43.197087,4.8,2022-10-24T21:27:51.883555,0.79817,15410
maven,org.lz4:lz4-java,0.414605807,Not Participating,2022-10-25T07:15:31.777254,https://libraries.io/api/maven/org.lz4:lz4-java,200,18,167,176,https://github.com/lz4/lz4-java,200,2022-10-25T07:15:32.542028,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/lz4/lz4-java,200,,,,2022-10-25T10:11:56.630654,4.1,2022-10-25T07:15:37.643079,0.42871,423
maven,net.minidev:accessors-smart,0.410697097,Not Participating,2022-10-24T22:03:38.285330,https://libraries.io/api/maven/net.minidev:accessors-smart,200,15,27,79,https://github.com/netplex/json-smart-v2,200,2022-10-24T21:06:02.184197,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/netplex/json-smart-v2,200,,,,2022-10-24T21:06:16.237787,6.0,2022-10-24T21:06:19.683520,0.43233,176
maven,org.slf4j:log4j-over-slf4j,0.398641359,Not Participating,2022-10-24T20:52:02.813040,https://libraries.io/api/maven/org.slf4j:log4j-over-slf4j,200,23,1723,7488,https://github.com/qos-ch/slf4j,200,2022-10-24T19:31:20.295867,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/qos-ch/slf4j,200,,,,2022-10-24T19:31:35.378129,5.7,2022-10-24T19:31:39.294587,0.64469,5791
go,github.com/googleapis/go-genproto,0.396730096,Not Participating,2022-10-24T20:05:36.389881,https://libraries.io/api/go/github.com%2Fgoogleapis%2Fgo-genproto,200,8,2,0,https://github.com/googleapis/go-genproto,200,2022-10-24T20:05:37.119928,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/googleapis/go-genproto,200,,,,2022-10-24T20:05:51.679869,7.6,2022-10-24T20:05:55.753205,0.52177,1608
